league,season,team,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
ENG-Premier League,2526,Arsenal,2,38,38,3420,38,27,0.71,89,61,69.7,26,7,5,19,50.0,0,0,0,0,,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,2,38,38,3420,38,49,1.29,163,114,69.9,19,8,11,9,23.7,2,1,1,0,50.0,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,1,38,38,3420,38,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0.0,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,2,38,38,3420,38,52,1.37,158,106,67.1,14,11,13,10,26.3,8,5,3,0,37.5,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,1,38,38,3420,38,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,2,38,38,3420,38,75,1.97,212,137,64.6,4,10,24,4,10.5,8,7,0,1,0.0,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,2,38,38,3418,38,54,1.42,160,105,66.3,14,10,14,9,23.7,2,2,0,0,0.0,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,2,38,38,3420,38,51,1.34,159,107,67.9,11,12,15,12,31.6,7,5,1,1,16.7,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,1,38,38,3420,38,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25.0,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,1,38,38,3420,38,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,2,38,38,3420,38,56,1.47,157,101,64.3,11,14,13,8,21.1,6,6,0,0,0.0,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,3,38,38,3420,38,53,1.39,152,99,65.1,17,9,12,10,26.3,4,3,1,0,25.0,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,2,38,38,3420,38,35,0.92,126,89,72.2,23,9,6,16,42.1,2,1,1,0,50.0,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,2,38,38,3420,38,50,1.32,142,91,64.8,20,11,7,8,21.1,4,4,0,0,0.0,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,2,38,38,3420,38,55,1.45,168,113,67.3,14,7,17,8,21.1,5,5,0,0,0.0,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,4,38,38,3420,38,51,1.34,158,107,67.7,11,11,16,9,23.7,6,5,1,0,16.7,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,2,38,38,3420,38,48,1.26,166,118,71.1,14,12,12,11,28.9,3,2,1,0,33.3,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,2,38,38,3420,38,57,1.5,150,93,62.0,10,11,17,9,23.7,3,3,0,0,0.0,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,2,38,38,3420,38,65,1.71,195,129,66.7,10,9,19,7,18.4,7,6,0,1,0.0,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,3,38,38,3420,38,68,1.79,179,111,62.0,3,11,24,4,10.5,5,5,0,0,0.0,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
