league,season,team,players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,
ENG-Premier League,2526,Arsenal,25,38,67,552,186,33.7,14.53,4.89,0.12,0.36,4,4,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,30,38,53,483,170,35.2,12.71,4.47,0.11,0.31,0,0,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,26,38,57,526,178,33.8,13.84,4.68,0.11,0.32,5,6,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,26,38,53,405,147,36.3,10.66,3.87,0.13,0.36,8,10,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,28,38,51,494,176,35.6,13.0,4.63,0.1,0.29,3,5,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,28,38,35,355,118,33.2,9.34,3.11,0.1,0.3,2,2,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,30,38,57,509,166,32.6,13.39,4.37,0.11,0.34,7,8,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,30,38,40,442,141,31.9,11.63,3.71,0.09,0.28,8,8,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,38,45,422,142,33.6,11.11,3.74,0.11,0.32,2,2,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,24,38,43,481,138,28.7,12.66,3.63,0.09,0.31,5,5,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,38,48,477,151,31.7,12.55,3.97,0.1,0.32,6,8,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,38,61,588,175,29.8,15.47,4.61,0.1,0.35,1,2,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,38,74,595,205,34.5,15.66,5.39,0.12,0.36,3,4,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,38,66,595,215,36.1,15.66,5.66,0.11,0.31,4,6,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,26,38,53,492,176,35.8,12.95,4.63,0.11,0.3,6,6,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,31,38,47,476,156,32.8,12.53,4.11,0.1,0.3,3,3,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,38,38,396,130,32.8,10.42,3.42,0.1,0.29,4,5,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,31,38,47,435,146,33.6,11.45,3.84,0.11,0.32,0,0,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,32,38,44,404,142,35.1,10.63,3.74,0.11,0.31,3,3,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,31,38,26,369,123,33.3,9.71,3.24,0.07,0.21,3,5,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
