league,season,game,team,player,nation,age,min,Shot Stopping,Shot Stopping,Shot Stopping,Shot Stopping,game_id
,,,,,,,,SoTA,GA,Saves,Save%,
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,David Raya,ESP,30-340,90,1,0,1,100.0,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Carl Rushworth,ENG,25-050,90,5,3,2,40.0,3085a362
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Caoimhín Kelleher,IRL,27-272,90,4,0,4,100.0,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Antonín Kinský,CZE,23-162,90,8,3,5,62.5,01f07042
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Dean Henderson,ENG,29-163,90,5,2,3,60.0,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Jordan Pickford,ENG,32-168,90,4,0,4,100.0,cbc27eaf
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Kostas Tzolakis,GRE,23-287,90,5,0,5,100.0,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Senne Lammens,BEL,24-046,90,4,2,2,50.0,69e3855f
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Kjell Scherpen,NED,26-211,90,3,1,2,66.7,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Robin Roefs,NED,23-217,90,3,2,1,33.3,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,James Trafford,ENG,23-316,90,3,0,2,100.0,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Matz Sels,BEL,34-177,90,3,1,2,66.7,b6600c62
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Marco Bizot,NED,35-166,90,7,4,3,42.9,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Bart Verbruggen,NED,24-005,90,0,0,0,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Đorđe Petrović,SRB,26-319,90,6,2,4,66.7,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Gianluigi Donnarumma,ITA,27-179,90,4,1,3,75.0,029e3234
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Alisson,BRA,33-325,90,5,2,3,60.0,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Lukáš Horníček,CZE,24-041,90,7,2,5,71.4,a02c581c
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Robert Sánchez,ESP,28-279,90,6,2,4,66.7,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Bernd Leno,GER,34-173,90,6,3,3,50.0,98138a1e
