league,season,game,team,player,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Ben White,4,ENG,RB,28-317,90,0,1,0,0,1,0,0,0,1,0,1,3,1,1,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Bukayo Saka,7,ENG,AM,24-350,67,1,0,0,0,3,1,0,0,0,1,1,5,1,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Christos Tzolis,17,GRE,AM,24-203,75,0,0,0,0,4,2,0,0,0,2,1,3,1,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Cristhian Mosquera,3,ESP,CB,22-055,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,David Raya,1,ESP,GK,30-340,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Declan Rice,41,ENG,DM,27-219,67,0,0,0,0,2,0,0,0,2,0,0,4,0,1,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Eberechi Eze,10,ENG,"FW,MF",28-053,15,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Gabriel Magalhães,6,BRA,CB,28-245,90,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Kai Havertz,29,GER,FW,27-071,90,1,0,0,0,1,1,0,0,2,2,2,0,0,1,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Martin Ødegaard,8,NOR,AM,27-247,75,1,0,0,0,3,1,0,0,0,1,0,2,2,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Martín Zubimendi,36,ESP,MF,27-200,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Mikel Merino,23,ESP,MF,30-060,15,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Myles Lewis-Skelly,49,ENG,DM,19-329,90,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Noni Madueke,20,ENG,"FW,MF",24-164,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Piero Hincapié,5,ECU,DF,24-224,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Arsenal,Riccardo Calafiori,33,ITA,LB,24-094,81,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Aurèle Amenda,24,SUI,CB,23-021,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Bobby Thomas,4,ENG,CB,25-203,90,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Brandon Thomas-Asante,23,GHA,LW,27-235,69,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Caleb Yirenkyi,8,GHA,AM,20-218,61,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Carl Rushworth,19,ENG,GK,25-050,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Ellis Simms,9,ENG,FW,25-228,69,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Frank Onyeka,16,NGA,AM,28-232,90,0,0,0,0,0,0,0,0,3,1,0,0,1,3,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Gustavo Hamer,38,NED,MF,29-058,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Jack Rudoni,5,ENG,MF,26-087,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Jay Dasilva,3,WAL,LB,28-121,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Loum Tchaouna,18,FRA,RW,22-347,81,0,0,0,0,2,0,0,0,1,2,0,2,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Matt Grimes,6,ENG,DM,31-037,90,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Milan van Ewijk,27,NED,RB,25-347,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Taiwo Awoniyi,14,NGA,FW,29-009,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,3085a362
ENG-Premier League,2627,2026-08-21 Arsenal-Coventry City,Coventry City,Victor Torp,29,DEN,MF,27-022,29,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,,3085a362
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Aaron Hickey,2,SCO,"DF,MF",24-073,15,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Callum Wilson,13,ENG,FW,34-176,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Caoimhín Kelleher,1,IRL,GK,27-272,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Dango Ouattara,11,BFA,AM,24-192,66,0,0,0,0,2,0,0,0,3,2,1,1,0,2,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Igor Thiago,9,BRA,FW,25-057,82,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Jaidon Anthony,19,ENG,"FW,MF",26-264,24,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Keane Lewis-Potter,23,ENG,LB,25-181,90,1,0,0,0,2,1,0,0,1,0,0,4,0,2,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Kevin Schade,7,GER,AM,24-268,90,0,0,0,0,5,2,0,0,0,2,0,0,3,1,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Kristoffer Ajer,20,NOR,CB,28-127,90,0,0,0,0,1,1,0,0,1,1,0,0,1,2,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Mamadou Sangare,18,MLI,DM,24-057,75,0,1,0,0,1,1,0,0,1,3,0,1,0,2,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Mathias Jensen,8,DEN,AM,30-233,66,0,0,0,0,2,1,0,0,3,0,0,5,1,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Michael Kayode,33,ITA,RB,22-043,75,1,0,0,0,4,1,0,0,0,3,0,0,0,1,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Mikkel Damsgaard,24,DEN,"FW,MF",26-050,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Nathan Collins,22,IRL,CB,25-114,90,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Vitaly Janelt,27,GER,DM,28-104,90,1,0,0,0,2,1,1,0,4,1,0,5,3,4,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Brentford,Yehor Yarmoliuk,6,UKR,MF,22-174,24,0,0,0,0,1,0,0,0,1,1,0,1,2,1,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Andy Robertson,3,SCO,LB,32-164,90,0,0,0,0,0,0,0,0,0,2,0,5,2,2,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Antonín Kinský,31,CZE,GK,23-162,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Archie Gray,14,ENG,RB,20-163,85,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Conor Gallagher,8,ENG,AM,26-197,45,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Destiny Udogie,13,ITA,"DF,MF",23-267,5,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Dominic Solanke,19,ENG,FW,28-342,23,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,James Maddison,10,ENG,"FW,MF",29-272,23,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Jan Paul van Hecke,6,NED,CB,26-075,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Lucas Bergvall,15,SWE,DM,20-201,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Marcos Senesi,5,ARG,CB,29-104,90,0,0,0,0,0,0,0,0,2,3,1,0,4,2,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Mateus Fernandes,18,POR,MF,22-043,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Mathys Tel,11,FRA,AM,21-117,90,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,,,01f07042
