league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ENG-Premier League,2627,Arsenal,David Raya,ESP,GK,30-347,1995,1,1,90,1,0,0,1,1,100.0,1,0,0,1,100,0,0,0,0,
ENG-Premier League,2627,Aston Villa,Marco Bizot,NED,GK,35-171,1991,1,1,90,1,4,4,7,3,42.9,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Bournemouth,Đorđe Petrović,SRB,GK,26-324,1999,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Brentford,Caoimhín Kelleher,IRL,GK,27-278,1998,1,1,90,1,0,0,4,4,100.0,1,0,0,1,100,0,0,0,0,
ENG-Premier League,2627,Brighton,Bart Verbruggen,NED,GK,24-010,2002,1,1,90,1,0,0,0,0,,1,0,0,1,100,0,0,0,0,
ENG-Premier League,2627,Chelsea,Robert Sánchez,ESP,GK,28-283,1997,1,1,90,1,2,2,6,4,66.7,1,0,0,0,0,0,0,0,0,
ENG-Premier League,2627,Coventry City,Carl Rushworth,ENG,GK,25-057,2001,1,1,90,1,3,3,5,2,40.0,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Crystal Palace,Dean Henderson,ENG,GK,29-169,1997,1,1,90,1,2,2,5,3,60.0,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Everton,Jordan Pickford,ENG,GK,32-174,1994,1,1,90,1,0,0,4,4,100.0,1,0,0,1,100,0,0,0,0,
ENG-Premier League,2627,Fulham,Bernd Leno,GER,GK,34-177,1992,1,1,90,1,3,3,6,3,50.0,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Hull City,Kostas Tzolakis,GRE,GK,23-293,2002,1,1,90,1,0,0,5,5,100.0,1,0,0,1,100,0,0,0,0,
ENG-Premier League,2627,Ipswich Town,Kjell Scherpen,NED,GK,26-217,2000,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
ENG-Premier League,2627,Leeds United,James Trafford,ENG,GK,23-322,2002,1,1,90,1,0,0,3,2,100.0,1,0,0,1,100,0,0,0,0,
ENG-Premier League,2627,Liverpool,Alisson,BRA,GK,33-330,1992,1,1,90,1,2,2,5,3,60.0,0,1,0,0,0,0,0,0,0,
ENG-Premier League,2627,Manchester City,Gianluigi Donnarumma,ITA,GK,27-184,1999,1,1,90,1,1,1,4,3,75.0,1,0,0,0,0,0,0,0,0,
ENG-Premier League,2627,Manchester Utd,Senne Lammens,BEL,GK,24-052,2002,1,1,90,1,2,2,4,2,50.0,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Newcastle,Lukáš Horníček,CZE,GK,24-046,2002,1,1,90,1,2,2,7,5,71.4,0,1,0,0,0,1,1,0,0,0
ENG-Premier League,2627,Nottingham,Matz Sels,BEL,GK,34-183,1992,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Sunderland,Robin Roefs,NED,GK,23-223,2003,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2627,Tottenham,Antonín Kinský,CZE,GK,23-168,2003,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,1,0,0,1,
