league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
ENG-Premier League,2627,Arsenal,Ben White,ENG,DF,28-324,1997,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Arsenal,Bukayo Saka,ENG,MF,24-357,2001,1,67,67,74.4,0.7,1,67,0,0,,0,3,3,0,3,4.03,4.03
ENG-Premier League,2627,Arsenal,Christos Tzolis,GRE,MF,24-210,2002,1,75,75,83.3,0.8,1,75,0,0,,0,3,3,0,3,3.6,3.6
ENG-Premier League,2627,Arsenal,Cristhian Mosquera,ESP,DF,22-062,2004,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Arsenal,David Raya,ESP,GK,30-347,1995,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Arsenal,Declan Rice,ENG,MF,27-226,1999,1,67,67,74.4,0.7,1,67,0,0,,0,3,3,0,3,4.03,4.03
ENG-Premier League,2627,Arsenal,Eberechi Eze,ENG,"FW,MF",28-060,1998,1,15,15,16.7,0.2,0,,0,1,15,0,3,0,0,0,0.0,-3.6
ENG-Premier League,2627,Arsenal,Ethan Nwaneri,ENG,MF,19-160,2007,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Arsenal,Gabriel Magalhães,BRA,DF,28-252,1997,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Arsenal,Kai Havertz,GER,FW,27-078,1999,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Arsenal,Kepa Arrizabalaga,ESP,GK,31-329,1994,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Arsenal,Martin Ødegaard,NOR,MF,27-254,1998,1,75,75,83.3,0.8,1,75,0,0,,0,3,3,0,3,3.6,3.6
ENG-Premier League,2627,Arsenal,Martín Zubimendi,ESP,MF,27-207,1999,1,23,23,25.6,0.3,0,,0,1,23,0,3,0,0,0,0.0,-4.03
ENG-Premier League,2627,Arsenal,Max Dowman,ENG,MF,16-240,2009,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Arsenal,Mikel Merino,ESP,MF,30-067,1996,1,15,15,16.7,0.2,0,,0,1,15,0,3,0,0,0,0.0,-3.6
ENG-Premier League,2627,Arsenal,Myles Lewis-Skelly,ENG,MF,19-336,2006,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Arsenal,Noni Madueke,ENG,"FW,MF",24-171,2002,1,23,23,25.6,0.3,0,,0,1,23,0,3,0,0,0,0.0,-4.03
ENG-Premier League,2627,Arsenal,Piero Hincapié,ECU,DF,24-231,2002,1,9,9,10.0,0.1,0,,0,1,9,0,3,0,0,0,0.0,-3.33
ENG-Premier League,2627,Arsenal,Riccardo Calafiori,ITA,DF,24-101,2002,1,81,81,90.0,0.9,1,81,0,0,,0,3,3,0,3,3.33,3.33
ENG-Premier League,2627,Arsenal,Viktor Gyökeres,SWE,"FW,MF",28-085,1998,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Aston Villa,Alejandro Garnacho,ARG,MF,22-058,2004,1,5,5,5.6,0.1,0,,0,1,5,0,0,0,0,0,0.0,4.24
ENG-Premier League,2627,Aston Villa,Alysson,BRA,MF,20-115,2006,1,9,9,10.0,0.1,0,,0,1,9,0,0,0,0,0,0.0,4.44
ENG-Premier League,2627,Aston Villa,Boubacar Kamara,FRA,MF,26-278,1999,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,4,-4,-4.0,
ENG-Premier League,2627,Aston Villa,Bradley Burrowes,ENG,MF,18-177,2008,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Aston Villa,Emi Buendía,ARG,FW,29-246,1996,1,85,85,94.4,0.9,1,85,0,0,,0,0,0,4,-4,-4.24,-4.24
ENG-Premier League,2627,Aston Villa,George Hemmings,ENG,MF,19-177,2007,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,4,-4,-4.0,
ENG-Premier League,2627,Aston Villa,Ian Maatsen,NED,DF,24-171,2002,1,81,81,90.0,0.9,1,81,0,0,,0,0,0,4,-4,-4.44,-4.44
ENG-Premier League,2627,Aston Villa,John McGinn,SCO,MF,31-314,1994,1,81,81,90.0,0.9,1,81,0,0,,0,0,0,4,-4,-4.44,-4.44
ENG-Premier League,2627,Aston Villa,João Gomes,BRA,MF,25-197,2001,1,39,39,43.3,0.4,1,39,0,0,,0,0,0,4,-4,-9.23,-9.23
ENG-Premier League,2627,Aston Villa,Lamare Bogarde,NED,"DF,MF",22-235,2004,1,17,17,18.9,0.2,0,,0,1,17,0,0,0,0,0,0.0,4.93
ENG-Premier League,2627,Aston Villa,Luka Lynch,ENG,FW,19-229,2007,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Aston Villa,Marco Bizot,NED,GK,35-171,1991,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,4,-4,-4.0,
ENG-Premier League,2627,Aston Villa,Matteo Ruggeri,ITA,"DF,MF",24-048,2002,1,9,9,10.0,0.1,0,,0,1,9,0,0,0,0,0,0.0,4.44
ENG-Premier League,2627,Aston Villa,Matty Cash,POL,DF,29-021,1997,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,4,-4,-4.0,
ENG-Premier League,2627,Aston Villa,Pau Torres,ESP,DF,29-224,1997,1,73,73,81.1,0.8,1,73,0,0,,0,0,0,4,-4,-4.93,-4.93
ENG-Premier League,2627,Aston Villa,Ross Barkley,ENG,MF,32-266,1993,1,73,73,81.1,0.8,1,73,0,0,,0,0,0,4,-4,-4.93,-4.93
ENG-Premier League,2627,Aston Villa,Triston Rowe,ENG,DF,20-102,2006,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Aston Villa,Tyrone Mings,ENG,DF,33-168,1993,1,17,17,18.9,0.2,0,,0,1,17,0,0,0,0,0,0.0,4.93
ENG-Premier League,2627,Aston Villa,Victor Lindelöf,SWE,DF,32-042,1994,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,4,-4,-4.0,
ENG-Premier League,2627,Aston Villa,Zion Suzuki,JPN,GK,24-007,2002,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Bournemouth,Adam Smith,ENG,DF,35-121,1991,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Bournemouth,Adrien Truffert,FRA,DF,24-281,2001,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Bournemouth,Alex Scott,ENG,MF,23-007,2003,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Bournemouth,Alex Tóth,HUN,MF,20-309,2005,1,16,16,17.8,0.2,0,,0,1,16,0,0,0,2,-2,-11.25,-12.47
ENG-Premier League,2627,Bournemouth,António Silva,POR,DF,22-302,2003,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Bournemouth,Bafodé Diakité,FRA,DF,25-234,2001,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Bournemouth,Ben Gannon-Doak,SCO,MF,20-290,2005,1,2,2,2.2,0.0,0,,0,1,2,0,0,0,1,-1,-45.0,-45.0
ENG-Premier League,2627,Bournemouth,Daniel Jebbison,CAN,FW,23-015,2003,1,16,16,17.8,0.2,0,,0,1,16,0,0,0,2,-2,-11.25,-12.47
ENG-Premier League,2627,Bournemouth,David Brooks,WAL,"FW,MF",29-051,1997,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Bournemouth,Evanilson,BRA,FW,26-326,1999,1,74,74,82.2,0.8,1,74,0,0,,0,0,1,0,1,1.22,12.47
ENG-Premier League,2627,Bournemouth,James Hill,ENG,DF,24-230,2002,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Bournemouth,Juanlu Sánchez,ESP,"DF,MF",23-013,2003,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Bournemouth,Justin Kluivert,NED,MF,27-115,1999,1,74,74,82.2,0.8,1,74,0,0,,0,0,1,0,1,1.22,12.47
ENG-Premier League,2627,Bournemouth,Lewis Cook,ENG,MF,29-206,1997,1,74,74,82.2,0.8,1,74,0,0,,0,0,1,0,1,1.22,12.47
ENG-Premier League,2627,Bournemouth,Marcus Tavernier,ENG,MF,27-159,1999,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Bournemouth,Rayan,BRA,MF,20-025,2006,1,88,88,97.8,1.0,1,88,0,0,,0,0,1,1,0,0.0,45.0
ENG-Premier League,2627,Bournemouth,Tyler Adams,USA,MF,27-195,1999,1,16,16,17.8,0.2,0,,0,1,16,0,0,0,2,-2,-11.25,-12.47
ENG-Premier League,2627,Bournemouth,Will Dennis,ENG,GK,26-049,2000,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Bournemouth,Álvaro Rodríguez,URU,FW,22-045,2004,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Bournemouth,Đorđe Petrović,SRB,GK,26-324,1999,1,90,90,100.0,1.0,1,90,1,0,,0,0,1,2,-1,-1.0,
ENG-Premier League,2627,Brentford,Aaron Hickey,SCO,"DF,MF",24-079,2002,1,15,15,16.7,0.2,0,,0,1,15,0,3,0,0,0,0.0,-3.6
ENG-Premier League,2627,Brentford,Callum Wilson,ENG,FW,34-182,1992,1,8,8,8.9,0.1,0,,0,1,8,0,3,0,0,0,0.0,-3.29
ENG-Premier League,2627,Brentford,Caoimhín Kelleher,IRL,GK,27-278,1998,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Brentford,Dango Ouattara,BFA,MF,24-198,2002,1,66,66,73.3,0.7,1,66,0,0,,0,3,3,0,3,4.09,4.09
ENG-Premier League,2627,Brentford,Ethan Pinnock,JAM,DF,33-091,1993,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brentford,Hákon Valdimarsson,ISL,GK,24-319,2001,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brentford,Igor Thiago,BRA,FW,25-063,2001,1,82,82,91.1,0.9,1,82,0,0,,0,3,3,0,3,3.29,3.29
ENG-Premier League,2627,Brentford,Jaidon Anthony,ENG,"FW,MF",26-270,1999,1,24,24,26.7,0.3,0,,0,1,24,0,3,0,0,0,0.0,-4.09
ENG-Premier League,2627,Brentford,Jannik Schuster,AUT,DF,20-104,2006,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brentford,Keane Lewis-Potter,ENG,DF,25-187,2001,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Brentford,Kevin Schade,GER,MF,24-274,2001,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Brentford,Kristoffer Ajer,NOR,DF,28-133,1998,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Brentford,Mamadou Sangare,MLI,MF,24-063,2002,1,75,75,83.3,0.8,1,75,0,0,,0,3,3,0,3,3.6,3.6
ENG-Premier League,2627,Brentford,Mathias Jensen,DEN,MF,30-239,1996,1,66,66,73.3,0.7,1,66,0,0,,0,3,3,0,3,4.09,4.09
ENG-Premier League,2627,Brentford,Michael Kayode,ITA,DF,22-049,2004,1,75,75,83.3,0.8,1,75,0,0,,0,3,3,0,3,3.6,3.6
ENG-Premier League,2627,Brentford,Mikkel Damsgaard,DEN,"FW,MF",26-056,2000,1,15,15,16.7,0.2,0,,0,1,15,0,3,0,0,0,0.0,-3.6
ENG-Premier League,2627,Brentford,Nathan Collins,IRL,DF,25-120,2001,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Brentford,Rico Henry,JAM,"DF,MF",29-051,1997,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brentford,Vitaly Janelt,GER,MF,28-110,1998,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
