league,season,team,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,
ENG-Premier League,2627,Arsenal,16,1,1,0,0,10,13,5,19,5,6,,,0,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2627,Aston Villa,16,1,3,1,0,9,12,2,4,8,9,,,1,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2627,Bournemouth,15,1,2,0,0,11,10,1,8,12,7,,,0,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2627,Brentford,16,1,1,0,0,17,14,3,21,15,11,,,0,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2627,Brighton,16,1,2,0,0,12,8,6,23,10,14,,,0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2627,Chelsea,16,1,3,0,0,7,11,3,11,7,15,,,0,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2627,Coventry City,15,1,1,0,0,13,10,0,10,9,2,,,0,/en/squads/f7e3dfe9/Coventry-City-Stats
ENG-Premier League,2627,Crystal Palace,16,1,1,0,0,15,5,0,13,10,16,,,0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2627,Everton,15,1,0,0,0,5,14,2,14,10,10,,,0,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2627,Fulham,15,1,2,0,0,12,7,0,17,8,12,,,0,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2627,Hull City,16,1,2,0,0,10,9,0,15,6,11,,,0,/en/squads/bd8769d1/Hull-City-Stats
ENG-Premier League,2627,Ipswich Town,16,1,0,0,0,12,14,1,14,7,15,,,0,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2627,Leeds United,13,1,1,0,0,14,15,3,8,15,12,,,0,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2627,Liverpool,15,1,3,0,0,15,16,1,27,8,9,,,0,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2627,Manchester City,15,1,1,0,0,11,11,2,24,7,8,,,0,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2627,Manchester Utd,16,1,1,0,0,9,9,3,39,2,4,,,0,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2627,Newcastle,16,1,5,0,0,16,14,2,8,4,8,,,0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2627,Nottingham,15,1,2,0,0,15,14,3,20,2,5,,,0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2627,Sunderland,16,1,3,0,0,14,12,4,23,9,8,,,0,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2627,Tottenham,16,1,1,0,0,14,16,2,14,6,12,,,0,/en/squads/361ca564/Tottenham-Hotspur-Stats
