league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ENG-Premier League,2627,Arsenal,16,26.2,65,1,11,90,1,3,2,5,3,0,0,1,0,3,2,5,3,5,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2627,Aston Villa,16,28.7,27,1,11,90,1,0,0,0,0,0,0,3,1,0,0,0,0,0,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2627,Bournemouth,15,26.1,34,1,11,90,1,1,1,2,1,0,0,2,0,1,1,2,1,2,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2627,Brentford,16,26.1,41,1,11,90,1,3,1,4,3,0,1,1,0,3,1,4,3,4,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2627,Brighton,16,25.9,73,1,11,90,1,3,2,5,3,0,0,2,0,3,2,5,3,5,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2627,Chelsea,16,24.4,38,1,11,90,1,3,3,6,3,0,0,3,0,3,3,6,3,6,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2627,Coventry City,15,26.2,36,1,11,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/en/squads/f7e3dfe9/Coventry-City-Stats
ENG-Premier League,2627,Crystal Palace,16,26.1,58,1,11,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2627,Everton,15,26.0,42,1,11,90,1,2,2,4,2,0,0,0,0,2,2,4,2,4,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2627,Fulham,15,26.6,62,1,11,90,1,2,1,3,2,0,0,2,0,2,1,3,2,3,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2627,Hull City,16,27.8,28,1,11,90,1,2,1,3,2,0,0,2,0,2,1,3,2,3,/en/squads/bd8769d1/Hull-City-Stats
ENG-Premier League,2627,Ipswich Town,16,26.4,38,1,11,90,1,2,2,4,2,0,0,0,0,2,2,4,2,4,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2627,Leeds United,13,26.9,45,1,11,90,1,1,0,1,1,0,0,1,0,1,0,1,1,1,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2627,Liverpool,15,26.2,61,1,11,90,1,2,1,3,1,1,1,3,0,2,1,3,1,2,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2627,Manchester City,15,25.6,66,1,11,90,1,2,2,4,2,0,0,1,0,2,2,4,2,4,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2627,Manchester Utd,16,27.1,72,1,11,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2627,Newcastle,16,24.7,39,1,11,90,1,2,2,4,2,0,0,5,0,2,2,4,2,4,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2627,Nottingham,15,27.0,55,1,11,90,1,0,0,0,0,0,0,2,0,0,0,0,0,0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2627,Sunderland,16,27.5,63,1,11,90,1,1,0,1,1,0,0,3,0,1,0,1,1,1,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2627,Tottenham,16,25.5,59,1,11,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/en/squads/361ca564/Tottenham-Hotspur-Stats
